ticker,name,market
3059.T,ヒラキ,Standard
3063.T,ジェイグループホールディングス,Growth
3064.T,ＭｏｎｏｔａＲＯ,Prime
3065.T,ライフフーズ,Standard
3067.T,東京一番フーズ,Standard
3068.T,ＷＤＩ,Standard
3069.T,ＪＦＬＡホールディングス,Standard
3070.T,ジェリービーンズグループ,Growth
3071.T,ストリーム,Standard
3075.T,銚子丸,Standard
3076.T,あい　ホールディングス,Prime
3077.T,ホリイフードサービス,Standard
3079.T,ディーブイエックス,Standard
3080.T,ジェーソン,Standard
3082.T,きちりホールディングス,Standard
3083.T,スターシーズ,Standard
3086.T,Ｊ．フロント　リテイリング,Prime
3087.T,ドトール・日レスホールディングス,Prime
3088.T,マツキヨココカラ＆カンパニー,Prime
3089.T,テクノアルファ,Standard
3091.T,ブロンコビリー,Prime
3092.T,ＺＯＺＯ,Prime
3093.T,トレジャー・ファクトリー,Prime
3096.T,オーシャンシステム,Standard
3097.T,物語コーポレーション,Prime
3099.T,三越伊勢丹ホールディングス,Prime
3101.T,東洋紡,Prime
3103.T,ユニチカ,Prime
3104.T,富士紡ホールディングス,Prime
3105.T,日清紡ホールディングス,Prime
3106.T,倉敷紡績,Prime
3107.T,ダイワボウホールディングス,Prime
3109.T,シキボウ,Prime
3110.T,日東紡績,Prime
3111.T,オーミケンシ,Standard
3113.T,ＵＮＩＶＡ・Ｏａｋホールディングス,Standard
3116.T,トヨタ紡織,Prime
3121.T,マーチャント・バンカーズ,Standard
3123.T,サイボー,Standard
3131.T,シンデン・ハイテックス,Standard
3132.T,マクニカホールディングス,Prime
3133.T,海帆,Growth
3134.T,Ｈａｍｅｅ,Standard
3135.T,マーケットエンタープライズ,Prime
3137.T,ファンデリー,Growth
3138.T,富士山マガジンサービス,Growth
3139.T,ラクト・ジャパン,Prime
3140.T,ＢＲＵＮＯ,Growth
3143.T,オーウイル,Standard
3148.T,クリエイトＳＤホールディングス,Prime
3150.T,グリムス,Prime
3151.T,バイタルケーエスケー・ホールディングス,Prime
3153.T,八洲電機,Prime
3154.T,メディアスホールディングス,Prime
3156.T,レスター,Prime
3157.T,ジオリーブグループ,Standard
3159.T,丸善ＣＨＩホールディングス,Standard
3160.T,大光,Standard
3161.T,アゼアス,Standard
3166.T,ＯＣＨＩホールディングス,Standard
3167.T,ＴＯＫＡＩホールディングス,Prime
3168.T,ＭＥＲＦ,Standard
3169.T,ミサワ,Standard
3172.T,ティーライフ,Standard
3173.T,Ｃｏｍｉｎｉｘ,Standard
3174.T,ハピネス・アンド・ディ,Standard
3175.T,エー・ピーホールディングス,Standard
3176.T,三洋貿易,Prime
3177.T,ありがとうサービス,Standard
3178.T,チムニー,Standard
3179.T,シュッピン,Prime
3180.T,ビューティガレージ,Prime
3181.T,買取王国,Standard
3182.T,オイシックス・ラ・大地,Prime
3183.T,ウイン・パートナーズ,Prime
3184.T,ＩＣＤＡホールディングス,Standard
3185.T,夢展望,Growth
3186.T,ネクステージ,Prime
3187.T,ミラタップ,Growth
3189.T,ＡＮＡＰホールディングス,Standard
3190.T,ホットマン,Standard
3191.T,ジョイフル本田,Prime
3192.T,白鳩,Standard
3193.T,エターナルホスピタリティグループ,Prime
3195.T,ジェネレーションパス,Growth
3196.T,ホットランドホールディングス,Prime
3197.T,すかいらーくホールディングス,Prime
3198.T,ＳＦＰホールディングス,Prime
3199.T,綿半ホールディングス,Prime
319A.T,技術承継機構,Growth
3201.T,日本毛織,Prime
3202.T,ダイトウボウ,Standard
3204.T,トーア紡コーポレーション,Standard
3205.T,ダイドーリミテッド,Standard
3221.T,ヨシックスホールディングス,Prime
3222.T,ユナイテッド・スーパーマーケット・ホールディングス,Standard
3223.T,エスエルディー,Standard
3224.T,ゼネラル・オイスター,Growth
3231.T,野村不動産ホールディングス,Prime
3232.T,三重交通グループホールディングス,Prime
3236.T,プロパスト,Standard
3237.T,イントランス,Growth
3238.T,セントラル総合開発,Standard
323A.T,フライヤー,Growth
3241.T,ウィル,Standard
3242.T,アーバネットコーポレーション,Standard
3245.T,ディア・ライフ,Prime
3246.T,コーセーアールイー,Standard
3248.T,アールエイジ,Standard
324A.T,ブッキングリゾート,Growth
3252.T,地主,Prime
325A.T,ＴＥＮＴＩＡＬ,Growth
3261.T,グランディーズ,Growth
3266.T,ファンドクリエーショングループ,Standard
3267.T,フィル・カンパニー,Standard
3271.T,ＴＨＥグローバル社,Standard
3276.T,ＪＰＭＣ,Prime
3277.T,サンセイランディック,Standard
3280.T,エストラスト,Standard
3284.T,フージャースホールディングス,Prime
3286.T,トラストホールディングス,Standard
3288.T,オープンハウスグループ,Prime
3289.T,東急不動産ホールディングス,Prime
