ticker,name,market,sector,breakout_date,breakout_price,current_price,current_return,return_5d,return_10d,return_21d,return_42d,return_63d,return_84d,return_126d
8704.T,トレイダーズホールディングス,Standard,証券、商品先物取引業,2026-05-08,1235.0,1318.0,6.72,-5.34,-7.77,-8.83,0.81,7.13,,
186A.T,アストロスケールホールディングス,Growth,サービス業,2026-05-11,1779.0,1296.0,-27.15,6.35,51.55,3.77,-39.69,-32.27,,
3132.T,マクニカホールディングス,Prime,卸売業,2026-05-11,3070.0,3676.0,19.74,9.22,4.43,8.01,1.47,17.95,,
4390.T,ＩＰＳ,Prime,情報・通信業,2026-05-11,3995.0,3605.0,-9.76,-5.63,-0.13,-4.51,-12.02,-9.64,,
6448.T,ブラザー工業,Prime,電気機器,2026-05-11,3480.0,4684.0,34.6,0.89,3.74,11.9,5.55,31.06,,
6929.T,日本セラミック,Prime,電気機器,2026-05-11,4155.0,3720.0,-10.47,-0.24,-0.96,-5.9,-10.71,-9.39,,
2674.T,ハードオフコーポレーション,Prime,小売業,2026-05-12,2329.0,2839.0,21.9,4.81,5.75,4.25,16.57,22.93,,
4043.T,トクヤマ,Prime,化学,2026-05-12,4593.0,4040.0,-12.04,-5.57,6.49,1.37,-0.24,-13.93,,
6506.T,安川電機,Prime,電気機器,2026-05-12,6970.0,5454.0,-21.75,-9.07,4.63,-14.09,-2.21,-23.03,,
9906.T,藤井産業,Standard,卸売業,2026-05-12,4755.0,4160.0,-12.51,-18.4,-15.46,-23.34,-12.41,-12.41,,
4259.T,エクサウィザーズ,Growth,情報・通信業,2026-05-14,967.0,842.0,-12.93,22.85,26.06,-0.62,-12.41,,,
5301.T,東海カーボン,Prime,ガラス・土石製品,2026-05-14,1585.0,1818.5,14.73,3.12,7.67,14.64,1.61,,,
6845.T,アズビル,Prime,電気機器,2026-05-14,1545.5,1551.0,0.36,1.29,6.28,-0.13,8.7,,,
3106.T,倉敷紡績,Prime,繊維製品,2026-05-15,11550.0,10230.0,-11.43,-8.14,-11.0,-16.28,-16.28,,,
3156.T,レスター,Prime,卸売業,2026-05-15,3465.0,5100.0,47.19,2.45,17.32,30.01,7.65,,,
4980.T,デクセリアルズ,Prime,化学,2026-05-15,3849.0,3120.0,-18.94,6.34,4.91,11.33,2.13,,,
9336.T,大栄環境,Prime,サービス業,2026-05-15,4300.0,3900.0,-9.3,0.35,-8.49,-12.09,-11.74,,,
1979.T,大氣社,Prime,建設業,2026-05-19,4110.0,4045.0,-1.58,7.91,5.6,15.21,11.8,,,
2810.T,ハウス食品グループ本社,Prime,食料品,2026-05-19,3476.0,3748.0,7.83,-2.13,-1.47,1.7,11.42,,,
5363.T,東京窯業,Standard,ガラス・土石製品,2026-05-19,674.0,693.0,2.82,2.08,4.6,4.3,3.86,,,
7327.T,第四北越フィナンシャルグループ,Prime,銀行業,2026-05-19,2093.0,2426.0,15.91,0.05,-5.54,-1.24,11.71,,,
7419.T,ノジマ,Prime,小売業,2026-05-20,1399.0,1317.0,-5.86,3.93,11.08,4.43,-4.36,,,
2938.T,オカムラ食品工業,Standard,食料品,2026-05-21,1465.0,1244.0,-15.09,6.48,1.37,2.05,-16.59,,,
5901.T,東洋製罐グループホールディングス,Prime,金属製品,2026-05-21,4344.0,4337.0,-0.16,-11.05,-12.64,-5.0,-5.16,,,
6178.T,日本郵政,Prime,サービス業,2026-05-21,2134.0,2362.0,10.68,-4.9,0.54,4.99,13.33,,,
7180.T,九州フィナンシャルグループ,Prime,銀行業,2026-05-21,1452.5,1495.0,2.93,-4.65,-3.55,-0.9,6.85,,,
7182.T,ゆうちょ銀行,Prime,銀行業,2026-05-21,3193.0,3142.0,-1.6,-7.28,1.0,-0.09,4.85,,,
8346.T,東邦銀行,Prime,銀行業,2026-05-21,778.0,935.0,20.18,-3.08,-4.37,-3.47,11.57,,,
8558.T,東和銀行,Prime,銀行業,2026-05-21,1287.0,1392.0,8.16,-2.8,4.27,11.11,8.08,,,
3905.T,データセクション,Growth,情報・通信業,2026-05-22,4800.0,1859.0,-61.27,27.92,2.08,4.79,-49.6,,,
8152.T,ソマール,Standard,卸売業,2026-05-22,8230.0,7270.0,-11.66,-2.79,-7.78,-10.33,-6.8,,,
8551.T,北日本銀行,Prime,銀行業,2026-05-22,5500.0,6870.0,24.91,-1.09,-3.27,-4.0,18.0,,,
4973.T,日本高純度化学,Prime,化学,2026-05-28,5800.0,4770.0,-17.76,-5.17,-13.79,-2.76,-25.78,,,
9962.T,ミスミグループ本社,Prime,卸売業,2026-05-28,3635.0,3687.0,1.43,3.66,0.28,4.92,-4.84,,,
3687.T,フィックスターズ,Prime,情報・通信業,2026-05-29,2704.0,2220.0,-17.9,34.43,-18.2,-7.47,-26.96,,,
5384.T,フジミインコーポレーテッド,Prime,ガラス・土石製品,2026-05-29,3960.0,4010.0,1.26,1.52,4.67,14.02,-10.23,,,
5970.T,ジーテクト,Prime,金属製品,2026-05-29,2212.0,2265.0,2.4,-2.67,-6.42,-5.42,-1.9,,,
6864.T,エヌエフホールディングス,Standard,電気機器,2026-05-29,2043.0,1611.0,-21.15,16.5,-9.3,-11.06,-31.23,,,
6962.T,大真空,Prime,電気機器,2026-05-29,1019.0,790.0,-22.47,10.6,-1.28,-10.11,-32.19,,,
3101.T,東洋紡,Prime,化学,2026-06-01,1915.0,1615.0,-15.67,-9.87,-7.21,-16.61,-23.5,,,
6245.T,ヒラノテクシード,Standard,機械,2026-06-01,2506.0,1772.0,-29.29,-18.6,-27.85,-26.66,-37.15,,,
7537.T,丸文,Prime,卸売業,2026-06-01,1834.0,1794.0,-2.18,-10.2,-9.87,-9.76,-11.23,,,
166A.T,タスキホールディングス,Growth,不動産業,2026-06-03,956.0,1117.0,16.84,6.9,17.15,18.51,12.24,,,
2664.T,カワチ薬品,Prime,小売業,2026-06-03,3380.0,3620.0,7.1,0.74,4.14,-1.18,-2.66,,,
3774.T,インターネットイニシアティブ,Prime,情報・通信業,2026-06-03,3250.0,3501.0,7.72,-4.4,-9.03,1.88,8.34,,,
7715.T,長野計器,Prime,精密機器,2026-06-03,3645.0,3965.0,8.78,3.16,17.7,18.66,5.21,,,
3915.T,テラスカイ,Prime,情報・通信業,2026-06-04,3485.0,2291.0,-34.26,-30.01,-28.03,-34.61,-37.62,,,
4095.T,日本パーカライジング,Prime,化学,2026-06-04,1630.0,1727.0,5.95,7.48,10.67,5.21,2.09,,,
4992.T,北興化学工業,Standard,化学,2026-06-04,1964.0,1988.0,1.22,-4.53,8.4,8.4,-4.02,,,
6340.T,澁谷工業,Prime,機械,2026-06-04,4225.0,4410.0,4.38,-7.46,-1.07,7.69,4.38,,,
6742.T,京三製作所,Prime,電気機器,2026-06-04,900.0,1000.0,11.11,3.78,10.67,2.22,5.56,,,
8084.T,ＲＹＯＤＥＮ,Prime,卸売業,2026-06-04,3930.0,4455.0,13.36,-1.53,-0.13,2.04,13.49,,,
2264.T,森永乳業,Prime,食料品,2026-06-08,5077.0,1212.0,-76.13,-2.88,-5.34,-74.24,-75.73,,,
3099.T,三越伊勢丹ホールディングス,Prime,小売業,2026-06-12,3755.0,3677.0,-2.08,3.09,9.69,6.1,,,,
4462.T,石原ケミカル,Prime,化学,2026-06-12,3175.0,3180.0,0.16,17.48,6.77,-5.73,,,,
7186.T,横浜フィナンシャルグループ,Prime,銀行業,2026-06-12,1720.0,1874.5,8.98,1.77,-0.38,9.59,,,,
8316.T,三井住友フィナンシャルグループ,Prime,銀行業,2026-06-12,6406.0,6857.0,7.04,1.19,-0.23,8.1,,,,
5981.T,東京製綱,Prime,金属製品,2026-06-16,2110.0,1913.0,-9.34,-5.97,-8.77,-4.74,,,,
6058.T,ベクトル,Prime,サービス業,2026-06-19,1626.0,1755.0,7.93,3.63,16.42,5.41,,,,
2962.T,テクニスコ,Standard,金属製品,2026-06-30,1990.0,1316.0,-33.87,-28.44,-38.59,-44.22,,,,
3989.T,シェアリングテクノロジー,Growth,情報・通信業,2026-06-30,1398.0,1475.0,5.51,0.29,2.79,-2.15,,,,
3276.T,ＪＰＭＣ,Prime,不動産業,2026-07-07,1403.0,2244.0,59.94,18.03,27.37,59.94,,,,
4212.T,積水樹脂,Prime,化学,2026-07-08,2772.0,2811.0,1.41,-4.11,-3.14,5.3,,,,
9651.T,日本プロセス,Standard,情報・通信業,2026-07-08,2014.0,2020.0,0.3,-1.39,-3.18,4.02,,,,
9619.T,イチネンホールディングス,Prime,サービス業,2026-07-09,2299.0,2601.0,13.14,3.44,3.39,13.66,,,,
8008.T,ヨンドシーホールディングス,Prime,小売業,2026-07-13,2109.0,2069.0,-1.9,1.28,-3.84,,,,,
9861.T,吉野家ホールディングス,Prime,小売業,2026-07-13,3586.0,3749.0,4.55,-0.03,6.11,,,,,
7936.T,アシックス,Prime,その他製品,2026-07-16,4976.0,4796.0,-3.62,-3.68,-4.46,,,,,
7581.T,サイゼリヤ,Prime,小売業,2026-07-17,7600.0,7650.0,0.66,0.79,3.03,,,,,
3087.T,ドトール・日レスホールディングス,Prime,小売業,2026-07-27,3210.0,3175.0,-1.09,-1.4,-2.49,,,,,
5830.T,いよぎんホールディングス,Prime,銀行業,2026-07-27,3785.0,3830.0,1.19,-5.2,-1.9,,,,,
8011.T,三陽商会,Prime,繊維製品,2026-07-27,4845.0,5330.0,10.01,1.03,8.77,,,,,
9308.T,乾汽船,Standard,海運業,2026-07-27,1860.0,2060.0,10.75,3.01,9.25,,,,,
9449.T,ＧＭＯインターネットグループ,Prime,情報・通信業,2026-07-27,4120.0,4193.0,1.77,0.75,1.87,,,,,
9997.T,ベルーナ,Prime,小売業,2026-07-27,1081.0,1025.0,-5.18,-7.86,-7.22,,,,,
2871.T,ニチレイ,Prime,食料品,2026-07-28,2280.5,2172.0,-4.76,-5.5,-4.76,,,,,
4722.T,フューチャー,Prime,情報・通信業,2026-07-30,2449.0,2445.0,-0.16,-0.12,,,,,,
6349.T,小森コーポレーション,Prime,機械,2026-07-30,1932.0,1905.0,-1.4,-0.88,,,,,,
8157.T,都築電気,Prime,情報・通信業,2026-07-30,4265.0,3985.0,-6.57,-5.04,,,,,,
3036.T,アルコニックス,Prime,卸売業,2026-08-06,3540.0,3585.0,1.27,,,,,,,
4206.T,アイカ工業,Prime,化学,2026-08-06,4045.0,4176.0,3.24,,,,,,,
4635.T,東京インキ,Standard,化学,2026-08-06,1994.0,2073.0,3.96,,,,,,,
4997.T,日本農薬,Prime,化学,2026-08-06,1110.0,1153.0,3.87,,,,,,,
5480.T,日本冶金工業,Prime,鉄鋼,2026-08-06,5690.0,5430.0,-4.57,,,,,,,
6287.T,サトー,Prime,機械,2026-08-06,2589.0,2605.0,0.62,,,,,,,
6333.T,ＴＥＩＫＯＫＵ,Prime,機械,2026-08-06,3515.0,3235.0,-7.97,,,,,,,
6741.T,日本信号,Prime,電気機器,2026-08-06,1890.0,1836.0,-2.86,,,,,,,
7942.T,ＪＳＰ,Prime,化学,2026-08-06,2962.0,2990.0,0.95,,,,,,,
7550.T,ゼンショーホールディングス,Prime,小売業,2026-08-10,11595.0,11340.0,-2.2,,,,,,,
8935.T,ＦＪネクストホールディングス,Prime,不動産業,2026-08-10,1972.0,1942.0,-1.52,,,,,,,
